Start                    End                      Duration[ms]             TaskName                 TaskID                   CurrState                NextState                
8.17943                  8.21476                  35.3252                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.24052                  8.24052                  0.003611                 TaskCoord                0                        Initializing             Initializing             
8.25346                  8.28648                  33.0168                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
8.32346                  8.32346                  0.002315                 TaskCoord                0                        Initializing             Initializing             
8.33645                  8.37178                  35.3238                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.41162                  8.41162                  0.002352                 TaskCoord                0                        Initializing             Initializing             
8.41176                  8.44605                  34.2875                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
8.48353                  8.48353                  0.002389                 TaskCoord                0                        Initializing             Initializing             
8.48365                  8.51779                  34.1419                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.55557                  8.58983                  34.2617                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
8.60247                  8.60248                  0.002296                 TaskCoord                0                        Initializing             Initializing             
8.62891                  8.66589                  36.9842                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.67868                  8.67868                  0.002463                 TaskCoord                0                        Initializing             Initializing             
8.70247                  8.73375                  31.2768                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
8.74751                  8.74751                  0.00387                  TaskCoord                0                        Initializing             Initializing             
8.78357                  8.82094                  37.3649                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.83727                  8.83727                  0.002574                 TaskCoord                0                        Initializing             Initializing             
8.85026                  8.87753                  27.2685                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
8.88991                  8.88991                  0.002277                 TaskCoord                0                        Initializing             Initializing             
8.92691                  8.96274                  35.8381                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
8.97491                  8.97491                  0.002722                 TaskCoord                0                        Initializing             Initializing             
9.00087                  9.03744                  36.5677                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.04776                  9.04776                  0.002351                 TaskCoord                0                        Initializing             Initializing             
9.08483                  9.11983                  34.997                   AltitudeCntrl            1                        Detumbling               DeterminingAlt           
9.13576                  9.13576                  0.003278                 TaskCoord                0                        Initializing             Initializing             
9.16274                  9.1974                   34.6554                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.20968                  9.20968                  0.002445                 TaskCoord                0                        Initializing             Initializing             
9.23403                  9.26978                  35.7555                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
9.2838                   9.28381                  0.002556                 TaskCoord                0                        Initializing             Initializing             
9.30672                  9.34115                  34.4273                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.3647                   9.36471                  0.002519                 TaskCoord                0                        Initializing             Initializing             
9.37772                  9.4129                   35.1806                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
9.44789                  9.4479                   0.00237                  TaskCoord                0                        Initializing             Initializing             
9.46081                  9.48481                  24.0008                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.52974                  9.52974                  0.002333                 TaskCoord                0                        Initializing             Initializing             
9.52986                  9.56692                  37.0643                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
9.60881                  9.60882                  0.00263                  TaskCoord                0                        Initializing             Initializing             
9.60896                  9.64482                  35.8619                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.68081                  9.68082                  0.002315                 TaskCoord                0                        Initializing             Initializing             
9.68094                  9.7179                   36.9542                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
9.75693                  9.78874                  31.8068                  AltitudeCntrl            1                        DeterminingAlt           Detumbling               
9.80177                  9.80177                  0.002241                 TaskCoord                0                        Initializing             Initializing             
9.82776                  9.86591                  38.1437                  AltitudeCntrl            1                        Detumbling               DeterminingAlt           
