Time (s)                 thxIncl(deg)             thzIncl(deg)             thySun(deg)              thzSun(deg)              thxEuler(deg)            thyEuler(deg)            thzEuler(deg)            
103.859                  -0.259855                -0.609713                0.3                      -0.28                    0.608429                 0.28317                  -0.297006                
104.009                  -0.124828                -0.509359                0.31                     -0.28                    0.508743                 0.282741                 -0.307498                
104.147                  -0.351847                -0.508568                0.31                     -0.28                    0.506831                 0.282731                 -0.307507                
104.307                  -0.222347                -0.424642                0.3                      -0.27                    0.423586                 0.27221                  -0.297992                
104.451                  -0.244062                -0.424049                0.3                      -0.27                    0.422889                 0.272207                 -0.297996                
104.595                  -0.256499                -0.4767                  0.29                     -0.27                    0.47548                  0.272397                 -0.287746                
104.739                  -0.285715                -0.449187                0.27                     -0.27                    0.44783                  0.272102                 -0.267878                
104.898                  -0.17339                 -0.478679                0.26                     -0.27                    0.477856                 0.272159                 -0.257736                
105.042                  -0.271502                -0.55726                 0.25                     -0.27                    0.555969                 0.272413                 -0.247366                
105.202                  -0.235968                -0.690274                0.24                     -0.26                    0.689191                 0.262868                 -0.236853                
105.346                  -0.197079                -0.613078                0.24                     -0.26                    0.612175                 0.262549                 -0.237206                
105.508                  -0.211292                -0.53232                 0.25                     -0.25                    0.53139                  0.252308                 -0.247668                
105.649                  -0.241693                -0.537466                0.25                     -0.24                    0.536444                 0.24233                  -0.24774                 
105.793                  -0.23202                 -0.526382                0.25                     -0.24                    0.525401                 0.242282                 -0.247787                
105.937                  -0.247418                -0.506588                0.26                     -0.24                    0.505542                 0.242285                 -0.25787                 
106.081                  -0.206752                -0.511735                0.26                     -0.24                    0.51086                  0.242309                 -0.257848                
106.273                  -0.263013                -0.388024                0.26                     -0.24                    0.386914                 0.24175                  -0.258371                
106.417                  -0.278608                -0.452354                0.26                     -0.25                    0.451128                 0.252039                 -0.258021                
106.56                   -0.170824                -0.39614                 0.26                     -0.25                    0.395389                 0.251788                 -0.258266                
106.704                  -0.211292                -0.489764                0.27                     -0.25                    0.488833                 0.252294                 -0.267855                
106.848                  -0.228664                -0.458886                0.27                     -0.24                    0.457919                 0.24215                  -0.268071                
106.992                  -0.161151                -0.494316                0.27                     -0.23                    0.493663                 0.232318                 -0.268006                
107.136                  -0.225901                -0.542217                0.27                     -0.22                    0.541339                 0.222541                 -0.267907                
107.28                   -0.281372                -0.481252                0.26                     -0.21                    0.48021                  0.212172                 -0.258229                
107.471                  -0.302297                -0.455916                0.26                     -0.18                    0.454956                 0.182059                 -0.258561                
107.622                  -0.248997                -0.422663                0.26                     -0.16                    0.421959                 0.16191                  -0.258814                
107.759                  -0.320656                -0.388816                0.26                     -0.15                    0.387967                 0.151757                 -0.258977                
107.907                  -0.30822                 -0.388816                0.25                     -0.13                    0.388108                 0.13169                  -0.249113                
108.047                  -0.17951                 -0.391191                0.24                     -0.13                    0.390779                 0.131634                 -0.239107                
108.191                  -0.196092                -0.414152                0.23                     -0.13                    0.413701                 0.131657                 -0.229055                
108.343                  -0.215438                -0.423059                0.23                     -0.13                    0.422564                 0.131693                 -0.229034                
108.494                  -0.162335                -0.386837                0.22                     -0.14                    0.386436                 0.141481                 -0.21905                 
108.638                  -0.199251                -0.468584                0.22                     -0.16                    0.468022                 0.161792                 -0.218685                
108.782                  -0.207344                -0.384065                0.23                     -0.17                    0.383445                 0.171535                 -0.228856                
108.958                  -0.255512                -0.450176                0.23                     -0.2                     0.449276                 0.201797                 -0.228423                
109.102                  -0.196092                -0.449978                0.24                     -0.22                    0.449219                 0.221875                 -0.238266                
109.245                  -0.287887                -0.434539                0.25                     -0.24                    0.433324                 0.241884                 -0.248176                
109.389                  -0.27624                 -0.396338                0.25                     -0.26                    0.395076                 0.261718                 -0.248199                
109.533                  -0.200435                -0.412172                0.25                     -0.28                    0.411187                 0.281787                 -0.247981                
109.725                  -0.26025                 -0.439686                0.25                     -0.29                    0.43836                  0.291904                 -0.247771                
109.869                  -0.254327                -0.423653                0.25                     -0.31                    0.422269                 0.311834                 -0.247705                
110.012                  -0.169047                -0.461063                0.25                     -0.32                    0.460113                 0.321997                 -0.247418                
110.172                  -0.206555                -0.458886                0.25                     -0.33                    0.457689                 0.331986                 -0.247352                
110.316                  -0.149701                -0.330029                0.25                     -0.35                    0.329111                 0.35143                  -0.247981                
110.466                  -0.304271                -0.514506                0.25                     -0.36                    0.512582                 0.362222                 -0.246764                
110.62                   -0.114958                -0.430976                0.25                     -0.37                    0.43023                  0.371867                 -0.247209                
110.764                  -0.189183                -0.366845                0.26                     -0.38                    0.365585                 0.381651                 -0.257564                
110.907                  -0.263408                -0.413558                0.27                     -0.39                    0.411756                 0.39193                  -0.267184                
111.051                  -0.223927                -0.450572                0.27                     -0.4                     0.449001                 0.402103                 -0.266851                
111.195                  -0.238732                -0.505401                0.28                     -0.4                     0.503724                 0.402446                 -0.276466                
111.339                  -0.282754                -0.446218                0.27                     -0.41                    0.444184                 0.412081                 -0.266807                
111.483                  -0.218202                -0.41435                 0.26                     -0.41                    0.412781                 0.411862                 -0.257033                
111.659                  -0.292427                -0.510151                0.25                     -0.42                    0.507996                 0.4222                   -0.24626                 
111.802                  -0.263803                -0.369418                0.24                     -0.43                    0.367431                 0.43153                  -0.237231                
111.947                  -0.340397                -0.447999                0.23                     -0.44                    0.445374                 0.441774                 -0.226566                
112.09                   -0.198461                -0.394556                0.22                     -0.45                    0.392992                 0.451498                 -0.216902                
112.266                  -0.256894                -0.468386                0.21                     -0.46                    0.466316                 0.461694                 -0.206243                
112.426                  -0.182274                -0.394556                0.21                     -0.48                    0.393025                 0.481429                 -0.206695                
112.57                   -0.249787                -0.45176                 0.21                     -0.48                    0.44966                  0.481633                 -0.206219                
112.729                  -0.19629                 -0.473731                0.21                     -0.49                    0.472046                 0.491713                 -0.205948                
112.873                  -0.179312                -0.470564                0.22                     -0.49                    0.469025                 0.491784                 -0.215974                
113.017                  -0.231033                -0.479273                0.23                     -0.5                     0.477249                 0.501898                 -0.225819                
113.161                  -0.21761                 -0.387628                0.24                     -0.5                     0.385723                 0.501604                 -0.236619                
113.305                  -0.21682                 -0.451562                0.24                     -0.5                     0.449663                 0.501868                 -0.23606                 
113.449                  -0.223927                -0.41336                 0.25                     -0.5                     0.411399                 0.501782                 -0.246394                
113.592                  -0.183853                -0.414152                0.26                     -0.49                    0.412574                 0.491859                 -0.256455                
113.736                  -0.179312                -0.427018                0.26                     -0.48                    0.42551                  0.481918                 -0.256419                
113.928                  -0.2869                  -0.446416                0.26                     -0.47                    0.444052                 0.472001                 -0.256341                
114.072                  -0.250379                -0.486993                0.26                     -0.46                    0.484973                 0.462184                 -0.256089                
114.216                  -0.208529                -0.466407                0.25                     -0.44                    0.464798                 0.442013                 -0.246415                
114.36                   -0.242088                -0.527372                0.24                     -0.42                    0.525588                 0.422184                 -0.236131                
114.504                  -0.250774                -0.486201                0.23                     -0.4                     0.484442                 0.40193                  -0.226604                
114.647                  -0.16352                 -0.472345                0.22                     -0.39                    0.471227                 0.391796                 -0.21678                 
114.791                  -0.189775                -0.451166                0.21                     -0.37                    0.449935                 0.371638                 -0.207084                
114.951                  -0.216228                -0.402671                0.21                     -0.35                    0.401345                 0.351462                 -0.207539                
115.111                  -0.121472                -0.330029                0.21                     -0.34                    0.329305                 0.341201                 -0.208039                
115.255                  -0.180102                -0.385451                0.21                     -0.33                    0.384409                 0.331401                 -0.207778                
115.4                    -0.234981                -0.437508                0.22                     -0.32                    0.436189                 0.321666                 -0.217554                
115.558                  -0.167271                -0.387034                0.23                     -0.31                    0.386125                 0.311543                 -0.227902                
115.702                  -0.196487                -0.450968                0.24                     -0.3                     0.449933                 0.301875                 -0.237634                
115.846                  -0.247813                -0.456114                0.25                     -0.29                    0.454852                 0.291975                 -0.247687                
116.006                  -0.251958                -0.510745                0.25                     -0.28                    0.509504                 0.282212                 -0.247497                
116.166                  -0.26025                 -0.497879                0.25                     -0.28                    0.496597                 0.282156                 -0.247561                
116.31                   -0.244062                -0.481252                0.25                     -0.27                    0.480093                 0.272085                 -0.247726                
116.453                  -0.267356                -0.425236                0.24                     -0.26                    0.424015                 0.261769                 -0.238067                
116.597                  -0.262816                -0.466803                0.22                     -0.26                    0.465602                 0.261779                 -0.217878                
116.741                  -0.224914                -0.42108                 0.21                     -0.27                    0.420014                 0.271532                 -0.208013                
116.885                  -0.213661                -0.467595                0.2                      -0.27                    0.466582                 0.27162                  -0.197792                
117.032                  -0.211687                -0.440279                0.19                     -0.27                    0.439277                 0.271449                 -0.187922                
117.221                  -0.164507                -0.459083                0.19                     -0.27                    0.458304                 0.271511                 -0.187832                
117.364                  -0.182668                -0.527965                0.19                     -0.27                    0.527099                 0.271736                 -0.187506                
117.508                  -0.186419                -0.493327                0.2                      -0.27                    0.492442                 0.271709                 -0.19767                 
117.652                  -0.191749                -0.513714                0.21                     -0.27                    0.512804                 0.271869                 -0.207573                
117.796                  -0.26025                 -0.521631                0.22                     -0.27                    0.520396                 0.271987                 -0.217536                
117.94                   -0.240114                -0.490555                0.23                     -0.27                    0.489416                 0.271955                 -0.227683                
118.083                  -0.277029                -0.431966                0.24                     -0.28                    0.430604                 0.281796                 -0.237886                
118.275                  -0.27091                 -0.411975                0.24                     -0.28                    0.410643                 0.281713                 -0.237984                
118.419                  -0.248603                -0.418704                0.24                     -0.29                    0.417439                 0.291741                 -0.237878                
118.563                  -0.311773                -0.408412                0.22                     -0.3                     0.406771                 0.301554                 -0.217862                
118.707                  -0.263605                -0.531528                0.2                      -0.31                    0.530094                 0.311837                 -0.19712                 
118.851                  -0.143779                -0.411381                0.19                     -0.31                    0.410599                 0.311354                 -0.187771                
118.995                  -0.287689                -0.587149                0.18                     -0.31                    0.585583                 0.311823                 -0.17682                 
119.138                  -0.181089                -0.481054                0.17                     -0.31                    0.48007                  0.311413                 -0.167394                
119.282                  -0.148517                -0.420486                0.17                     -0.3                     0.419705                 0.301237                 -0.167796                
119.474                  -0.245049                -0.433945                0.18                     -0.29                    0.432699                 0.291351                 -0.177803                
119.618                  -0.183458                -0.341113                0.2                      -0.28                    0.340213                 0.281183                 -0.198332                
119.762                  -0.174575                -0.375554                0.22                     -0.27                    0.374727                 0.271433                 -0.218227                
119.913                  -0.251366                -0.384263                0.23                     -0.26                    0.383116                 0.261532                 -0.228254                
120.05                   -0.270317                -0.386441                0.25                     -0.25                    0.385253                 0.251675                 -0.248311                
120.193                  -0.177338                -0.342499                0.25                     -0.24                    0.341751                 0.241487                 -0.248562                
120.337                  -0.290848                -0.389608                0.26                     -0.23                    0.388431                 0.231757                 -0.258433                
120.481                  -0.309207                -0.352                   0.25                     -0.23                    0.35075                  0.231526                 -0.248585                
120.673                  -0.2107                  -0.299151                0.24                     -0.23                    0.2983                   0.231246                 -0.238797                
120.832                  -0.259065                -0.369418                0.23                     -0.24                    0.368326                 0.241474                 -0.22845                 
120.992                  -0.192934                -0.256198                0.21                     -0.25                    0.255353                 0.250933                 -0.208882                
121.136                  -0.30289                 -0.37021                 0.19                     -0.25                    0.368882                 0.251218                 -0.188385                
121.28                   -0.198066                -0.341905                0.18                     -0.27                    0.340968                 0.271066                 -0.178388                
121.424                  -0.225703                -0.263918                0.17                     -0.28                    0.262812                 0.280777                 -0.168712                
121.568                  -0.254327                -0.318944                0.17                     -0.28                    0.317697                 0.280938                 -0.168443                
121.712                  -0.228862                -0.295786                0.18                     -0.3                     0.294584                 0.300921                 -0.178453                
121.855                  -0.244062                -0.221559                0.19                     -0.31                    0.220236                 0.310728                 -0.188804                
121.999                  -0.251958                -0.313006                0.2                      -0.31                    0.311638                 0.311083                 -0.198308                
122.143                  -0.287294                -0.324882                0.2                      -0.32                    0.323272                 0.321123                 -0.198188                
122.287                  -0.201027                -0.266293                0.21                     -0.32                    0.265167                 0.320968                 -0.208514                
122.479                  -0.234192                -0.327456                0.22                     -0.33                    0.326102                 0.331247                 -0.218115                
122.639                  -0.202409                -0.306078                0.22                     -0.33                    0.304908                 0.331166                 -0.218237                
122.783                  -0.284136                -0.379711                0.22                     -0.32                    0.378117                 0.321445                 -0.21788                 
122.93                   -0.215241                -0.245906                0.21                     -0.32                    0.2447                   0.320894                 -0.208628                
123.07                   -0.284531                -0.340123                0.21                     -0.31                    0.338578                 0.311236                 -0.208161                
123.214                  -0.281964                -0.236603                0.2                      -0.3                     0.235122                 0.300818                 -0.198764                
123.358                  -0.310391                -0.367835                0.2                      -0.3                     0.366203                 0.301272                 -0.198076                
123.502                  -0.180694                -0.235415                0.21                     -0.3                     0.234466                 0.300857                 -0.208768                
123.646                  -0.316116                -0.268075                0.21                     -0.3                     0.266414                 0.300973                 -0.2086                  
123.79                   -0.309009                -0.374169                0.21                     -0.3                     0.372543                 0.301359                 -0.208042                
123.933                  -0.237153                -0.26273                 0.21                     -0.3                     0.261485                 0.300955                 -0.208626                
124.125                  -0.27466                 -0.345666                0.21                     -0.3                     0.344222                 0.301256                 -0.208191                
124.269                  -0.343556                -0.354177                0.2                      -0.3                     0.352371                 0.301224                 -0.198148                
124.429                  -0.223729                -0.307068                0.2                      -0.31                    0.305853                 0.311063                 -0.198339                
124.572                  -0.25334                 -0.25699                 0.2                      -0.31                    0.255615                 0.310889                 -0.198612                
124.717                  -0.353031                -0.374564                0.19                     -0.32                    0.372585                 0.321229                 -0.187912                
124.86                   -0.274463                -0.30687                 0.19                     -0.32                    0.305332                 0.321008                 -0.188289                
125.013                  -0.237548                -0.39614                 0.18                     -0.32                    0.394808                 0.321233                 -0.177788                
125.17                   -0.264987                -0.276586                0.18                     -0.33                    0.275056                 0.33086                  -0.178411                
125.308                  -0.245641                -0.187316                0.18                     -0.33                    0.185899                 0.330582                 -0.178925                
125.451                  -0.231231                -0.266887                0.18                     -0.34                    0.265511                 0.34083                  -0.178419                
125.595                  -0.320459                -0.343093                0.18                     -0.35                    0.341129                 0.351065                 -0.17791                 
125.739                  -0.223532                -0.262928                0.19                     -0.35                    0.261559                 0.350864                 -0.188397                
125.883                  -0.26479                 -0.330425                0.19                     -0.35                    0.328802                 0.351085                 -0.187985                
126.075                  -0.280977                -0.381294                0.19                     -0.36                    0.379523                 0.361251                 -0.187608                
126.235                  -0.223334                -0.335769                0.2                      -0.36                    0.334361                 0.361161                 -0.197892                
126.379                  -0.279596                -0.346457                0.2                      -0.35                    0.344744                 0.351197                 -0.197887                
126.538                  -0.283346                -0.392775                0.2                      -0.35                    0.391037                 0.351357                 -0.197603                
126.682                  -0.242088                -0.326664                0.19                     -0.35                    0.32518                  0.351073                 -0.188007                
126.826                  -0.332106                -0.383868                0.19                     -0.35                    0.381831                 0.351258                 -0.18766                 
126.97                   -0.258275                -0.240561                0.19                     -0.35                    0.23898                  0.350789                 -0.188535                
127.114                  -0.304469                -0.327258                0.18                     -0.34                    0.325445                 0.341017                 -0.178063                
127.262                  -0.282359                -0.333592                0.18                     -0.34                    0.331911                 0.341037                 -0.178024                
127.401                  -0.2336                  -0.303109                0.18                     -0.34                    0.301719                 0.340943                 -0.178204                
127.545                  -0.309404                -0.335175                0.18                     -0.34                    0.333333                 0.341041                 -0.178016                
127.689                  -0.253933                -0.311819                0.18                     -0.34                    0.310307                 0.34097                  -0.178153                
127.849                  -0.20162                 -0.300734                0.19                     -0.33                    0.299569                 0.330989                 -0.188269                
127.993                  -0.357769                -0.389806                0.2                      -0.33                    0.387737                 0.331346                 -0.197759                
128.137                  -0.2488                  -0.426424                0.21                     -0.33                    0.424984                 0.331549                 -0.207543                
128.312                  -0.224914                -0.290243                0.22                     -0.32                    0.288983                 0.321106                 -0.21838                 
128.456                  -0.323617                -0.332404                0.22                     -0.32                    0.330589                 0.321264                 -0.218147                
128.6                    -0.297362                -0.266689                0.23                     -0.31                    0.265075                 0.311061                 -0.22856                 
128.744                  -0.354808                -0.295192                0.22                     -0.31                    0.293265                 0.311122                 -0.218407                
128.888                  -0.339213                -0.319142                0.22                     -0.3                     0.317359                 0.301214                 -0.218332                
129.063                  -0.274068                -0.333196                0.21                     -0.3                     0.331755                 0.301211                 -0.208257                
129.207                  -0.349675                -0.356354                0.2                      -0.3                     0.354516                 0.301232                 -0.198137                
129.351                  -0.195302                -0.328841                0.2                      -0.3                     0.327815                 0.301139                 -0.198278                
129.495                  -0.296967                -0.38268                 0.19                     -0.3                     0.381118                 0.301257                 -0.187998                
129.639                  -0.23735                 -0.317361                0.19                     -0.29                    0.316155                 0.291044                 -0.188394                
129.783                  -0.33329                 -0.429393                0.2                      -0.29                    0.427697                 0.291485                 -0.197827                
129.959                  -0.170429                -0.248281                0.2                      -0.29                    0.247416                 0.290861                 -0.198743                
130.102                  -0.316313                -0.28767                 0.21                     -0.29                    0.286063                 0.291045                 -0.208547                
130.246                  -0.309009                -0.254813                0.21                     -0.29                    0.253244                 0.290925                 -0.208713                
130.393                  -0.296178                -0.315975                0.21                     -0.29                    0.31447                  0.291148                 -0.208402                
130.534                  -0.329934                -0.361303                0.22                     -0.29                    0.359625                 0.291375                 -0.218173                
130.726                  -0.236166                -0.250062                0.22                     -0.29                    0.248863                 0.290953                 -0.218736                
130.87                   -0.319867                -0.333394                0.21                     -0.29                    0.331768                 0.291211                 -0.208315                
131.014                  -0.274068                -0.303307                0.21                     -0.28                    0.301963                 0.281103                 -0.208519                
131.157                  -0.317893                -0.384461                0.2                      -0.27                    0.382956                 0.271331                 -0.198189                
131.301                  -0.25413                 -0.391785                0.19                     -0.25                    0.39067                  0.25129                  -0.188289                
131.445                  -0.282754                -0.363678                0.19                     -0.24                    0.362488                 0.241197                 -0.188476                
131.589                  -0.297165                -0.26372                 0.18                     -0.22                    0.262575                 0.220823                 -0.178989                
131.733                  -0.294993                -0.260751                0.17                     -0.2                     0.259717                 0.200769                 -0.169091                
131.908                  -0.246826                -0.329237                0.17                     -0.19                    0.328414                 0.190971                 -0.168907                
132.052                  -0.31809                 -0.284701                0.17                     -0.18                    0.283697                 0.18084                  -0.169106                
132.196                  -0.271107                -0.301328                0.17                     -0.18                    0.300472                 0.180889                 -0.169053                
132.34                   -0.274463                -0.336759                0.17                     -0.19                    0.335844                 0.190993                 -0.168882                
132.484                  -0.294006                -0.393764                0.17                     -0.2                     0.392732                 0.201161                 -0.168624                
132.659                  -0.257881                -0.285295                0.18                     -0.22                    0.284301                 0.22089                  -0.178905                
132.803                  -0.263211                -0.3712                  0.18                     -0.24                    0.370092                 0.241158                 -0.178444                
132.948                  -0.241693                -0.319934                0.18                     -0.26                    0.318833                 0.260998                 -0.178549                
133.107                  -0.281175                -0.287274                0.19                     -0.28                    0.285896                 0.280945                 -0.188598                
133.251                  -0.301508                -0.28094                 0.19                     -0.3                     0.279357                 0.300923                 -0.188532                
133.395                  -0.27545                 -0.317163                0.2                      -0.32                    0.315619                 0.321097                 -0.198231                
133.539                  -0.338028                -0.28094                 0.2                      -0.33                    0.278988                 0.33097                  -0.198387                
133.682                  -0.291045                -0.309047                0.2                      -0.35                    0.307264                 0.351067                 -0.198116                
133.858                  -0.278214                -0.364668                0.2                      -0.36                    0.362913                 0.36126                  -0.197712                
134.002                  -0.269133                -0.295984                0.2                      -0.38                    0.294194                 0.381022                 -0.198042                
134.162                  -0.354216                -0.39614                 0.2                      -0.39                    0.39372                  0.391365                 -0.197311                
134.306                  -0.142595                -0.255802                0.2                      -0.41                    0.25478                  0.410885                 -0.19817                 
134.45                   -0.322828                -0.36922                 0.2                      -0.42                    0.366847                 0.421272                 -0.197301                
134.593                  -0.292624                -0.348833                0.21                     -0.42                    0.346681                 0.421263                 -0.207449                
134.743                  -0.221755                -0.304495                0.21                     -0.43                    0.302826                 0.431104                 -0.207718                
134.881                  -0.310983                -0.313798                0.22                     -0.43                    0.311458                 0.431189                 -0.217653                
135.073                  -0.257091                -0.327653                0.22                     -0.42                    0.325763                 0.421244                 -0.217603                
135.217                  -0.342766                -0.349031                0.22                     -0.42                    0.34651                  0.421323                 -0.21745                 
135.361                  -0.3021                  -0.343488                0.22                     -0.42                    0.341267                 0.421303                 -0.217489                
135.52                   -0.283938                -0.28193                 0.22                     -0.43                    0.279794                 0.431069                 -0.217891                
135.665                  -0.41324                 -0.347843                0.2                      -0.43                    0.344733                 0.431195                 -0.197404                
135.824                  -0.243273                -0.298953                0.19                     -0.44                    0.29708                  0.440979                 -0.18771                 
135.984                  -0.343358                -0.338144                0.17                     -0.44                    0.335501                 0.440988                 -0.167416                
136.144                  -0.292624                -0.312016                0.16                     -0.45                    0.309714                 0.450858                 -0.15756                 
136.288                  -0.241693                -0.341905                0.15                     -0.45                    0.340003                 0.450882                 -0.147322                
136.432                  -0.316116                -0.373377                0.16                     -0.45                    0.370888                 0.451026                 -0.157079                
136.575                  -0.176746                -0.288858                0.16                     -0.45                    0.287467                 0.450797                 -0.157735                
136.735                  -0.346911                -0.378523                0.18                     -0.44                    0.375852                 0.441171                 -0.177105                
136.879                  -0.297757                -0.278565                0.19                     -0.44                    0.276274                 0.440911                 -0.187871                
137.039                  -0.247221                -0.293806                0.2                      -0.43                    0.291947                 0.431013                 -0.197801                
137.182                  -0.333488                -0.345468                0.21                     -0.41                    0.343074                 0.41125                  -0.207536                
137.326                  -0.330921                -0.376544                0.21                     -0.4                     0.374226                 0.401363                 -0.207378                
