Time(s)                  AngVel-x(rad/s)          AngVel-y(rad/s)          AngVel-z(rad/s)          Ref.AngVelX(rad/s)       Ref.AngVelY(rad/s)       Ref.AngVelZ(rad/s)       Err.AngVelX(rad/s)       Err.AngVelY(rad/s)       Err.AngVelZ(rad/s)       Rot.Angle(deg)           Prof.Angle(deg)          Prof.w(rad/s)            Prof.e(rad/s^2)          
9.03706                  -0.00740311              1.01818e-05              -0.00110723              0                        0                        0                        0                        0                        0                        4.92364                  0                        0                        0                        
9.19693                  -0.00294104              1.83181e-07              -1.99201e-05             0                        0                        0                        0                        0                        0                        4.93652                  0                        0                        0                        
9.34078                  -0.00680192              0.00115446               0.00345435               0                        0                        0                        0                        0                        0                        4.97333                  0                        0                        0                        
9.48445                  0.00579437               5.18028e-06              0.00354536               0                        0                        0                        0                        0                        0                        4.94809                  0                        0                        0                        
9.64444                  0.00346164               0.00103695               0.00424259               0                        0                        0                        0                        0                        0                        4.9416                   0                        0                        0                        
9.78831                  0.0126083                -4.69072e-06             0.00356216               0                        0                        0                        0                        0                        0                        4.89097                  0                        0                        0                        
9.93206                  0.00424157               0.00115661               0.00240709               0                        0                        0                        0                        0                        0                        4.8846                   0                        0                        0                        
10.0918                  0.00305215               3.25575e-05              -0.00100105              0                        0                        0                        0                        0                        0                        4.87155                  0                        0                        0                        
10.2358                  -0.00660127              2.60087e-05              -0.00232442              0                        0                        0                        0                        0                        0                        4.89771                  0                        0                        0                        
10.3795                  0.00646642               2.58593e-05              -0.00236307              0                        0                        0                        0                        0                        0                        4.87127                  0                        0                        0                        
10.5405                  -0.0101099               4.46511e-05              -0.00421337              0                        0                        0                        0                        0                        0                        4.91591                  0                        0                        0                        
10.6992                  -0.0103576               3.81615e-05              -0.00425747              0                        0                        0                        0                        0                        0                        4.9619                   0                        0                        0                        
10.8271                  -0.0106023               -0.00129869              -0.00145329              0                        0                        0                        0                        0                        0                        4.99198                  0                        0                        0                        
10.9868                  0.00497515               -1.59768e-05             -0.00107113              0                        0                        0                        0                        0                        0                        4.96799                  0                        0                        0                        
11.1306                  -0.00794133              -8.46793e-06             0.00112051               0                        0                        0                        0                        0                        0                        5.00222                  0                        0                        0                        
11.2905                  0.0035183                -1.41281e-05             0.00210765               0                        0                        0                        0                        0                        0                        4.98489                  0                        0                        0                        
11.4345                  0.00200484               -2.49607e-05             0.00350206               0                        0                        0                        0                        0                        0                        4.97675                  0                        0                        0                        
11.5783                  0.0236962                -3.18006e-05             0.00354442               0                        0                        0                        0                        0                        0                        4.87992                  0                        0                        0                        
11.738                   0.00145717               -0.00109643              0.00214397               0                        0                        0                        0                        0                        0                        4.86676                  0                        0                        0                        
11.8819                  0.00118843               -4.21031e-05             0.00120635               0                        0                        0                        0                        0                        0                        4.86231                  0                        0                        0                        
12.0415                  -0.0015705               -7.61945e-07             2.18315e-05              0                        0                        0                        0                        0                        0                        4.86925                  0                        0                        0                        
12.1859                  -0.0061908               2.3799e-05               -0.00229124              0                        0                        0                        0                        0                        0                        4.89377                  0                        0                        0                        
12.3295                  -0.00115545              -0.0011472               -0.00352348              0                        0                        0                        0                        0                        0                        4.88882                  0                        0                        0                        
12.4771                  -0.00585221              -7.09518e-06             -0.00233237              0                        0                        0                        0                        0                        0                        4.91319                  0                        0                        0                        
12.6333                  0.00198653               -0.00107648              -0.00218734              0                        0                        0                        0                        0                        0                        4.89519                  0                        0                        0                        
12.7771                  -0.00786794              -0.00118974              -0.00236549              0                        0                        0                        0                        0                        0                        4.9195                   0                        0                        0                        
12.9368                  -0.00149379              -0.00109427              -4.90074e-05             0                        0                        0                        0                        0                        0                        4.91709                  0                        0                        0                        
13.0809                  0.00758873               -4.8608e-05              0.00229381               0                        0                        0                        0                        0                        0                        4.88501                  0                        0                        0                        
13.2406                  0.00319808               -0.00109315              0.00212251               0                        0                        0                        0                        0                        0                        4.86232                  0                        0                        0                        
13.3885                  -8.60802e-05             -0.00121034              0.00340644               0                        0                        0                        0                        0                        0                        4.85432                  0                        0                        0                        
13.5442                  -0.00159969              -4.41018e-05             0.00220559               0                        0                        0                        0                        0                        0                        4.86155                  0                        0                        0                        
13.6882                  0.00508082               -2.32044e-05             0.0023554                0                        0                        0                        0                        0                        0                        4.84066                  0                        0                        0                        
13.848                   0.0131976                -4.1864e-07              4.24947e-05              0                        0                        0                        0                        0                        0                        4.78293                  0                        0                        0                        
13.9918                  -0.00668775              0.00119433               -0.00113671              0                        0                        0                        0                        0                        0                        4.81951                  0                        0                        0                        
14.1356                  -0.0100165               4.39924e-05              -0.00117959              0                        0                        0                        0                        0                        0                        4.85926                  0                        0                        0                        
14.2797                  0.00327465               0.00121376               -0.00346385              0                        0                        0                        0                        0                        0                        4.85338                  0                        0                        0                        
14.4232                  -0.017937                5.32967e-05              -0.00239892              0                        0                        0                        0                        0                        0                        4.92807                  0                        0                        0                        
14.5832                  0.0104042                0.00108939               -0.00212137              0                        0                        0                        0                        0                        0                        4.88734                  0                        0                        0                        
14.7429                  -0.00770398              0.00110153               -0.00107574              0                        0                        0                        0                        0                        0                        4.93223                  0                        0                        0                        
14.8868                  -0.00718461              0.00121021               -2.25916e-05             0                        0                        0                        0                        0                        0                        4.97045                  0                        0                        0                        
